file,row,listing id,seller,price,currency,title,why it was held,listing url
hipcomic.csv,2,17956340,Princecringer,1999.99,USD,Amazing Spider-Man Annual #1 CGC Graded 5.0,no publication year in the title,https://www.hipcomic.com/listing/amazing-spider-man-annual-1-cgc-graded-50/17956340
hipcomic.csv,4,21840521,Mark,8.50,USD,Wolverine #65 (1993) Wolverine CGC 9.6,"auction listing (current bid, not a fixed price)",https://www.hipcomic.com/listing/wolverine-65-1993-wolverine-cgc-96/21840521
hipcomic.csv,5,21794674,HipComic,5.50,USD,Wonder Woman #750 Torpedo Comics Cover D (2020) Wonder Woman CGC 9.8,"auction listing (current bid, not a fixed price)",https://www.hipcomic.com/listing/wonder-woman-750-torpedo-comics-cover-d-2020-wonder-woman-cgc-98/21794674
hipcomic.csv,7,17759897,Princecringer,1400.00,USD,Fantastic Four #48 CGC Graded 5.0 VG/FN,no publication year in the title,https://www.hipcomic.com/listing/fantastic-four-48-cgc-graded-50-vg-fn/17759897
hipcomic.csv,8,21840523,Mark,5.50,USD,Thor #344 (1984) Thor [Key Issue] CGC 7.0,"auction listing (current bid, not a fixed price)",https://www.hipcomic.com/listing/thor-344-1984-thor-key-issue-cgc-70/21840523
hipcomic.csv,12,11403675,Killenenterprises,6000.00,USD,CGC 9.6 Wizard #1 Newsstand Magazine Comic 1991 Signed by Gareb Shamus Editor,signed or conserved book without a stated label type; publisher not stated and not determinable from the series,https://www.hipcomic.com/listing/cgc-96-wizard-1-newsstand-magazine-comic-1991-signed-by-gareb-shamus-editor/11403675
hipcomic.csv,13,12374076,rkornblow,99.95,USD,Miracleman #1 (1985) CGC 9.0,publisher not stated and not determinable from the series,https://www.hipcomic.com/listing/miracleman-1-1985-cgc-90/12374076
hipcomic.csv,18,13594619,Killenenterprises,250.00,USD,CGC 9.8 Faro's Lounge American Safari Sketchbook Comic Amazon Virgin Wonder,no issue number in the title; publisher not stated and not determinable from the series; no publication year in the title,https://www.hipcomic.com/listing/cgc-98-faros-lounge-american-safari-sketchbook-comic-amazon-virgin-wonder/13594619
hipcomic.csv,19,19422449,shauk786,249.99,USD,GUN HONEY: COLLISION COURSE #1 DAVID SANCHEZ VARIANT  CGC 9.8 SIGNATURE SERIES.,publisher not stated and not determinable from the series; no publication year in the title,https://www.hipcomic.com/listing/gun-honey-collision-course-1-david-sanchez-variant-cgc-98-signature-series/19422449
hipcomic.csv,27,17956339,Princecringer,2599.99,USD,Avengers #1 1st Appearance of Avengers Lee Kirby CGC Graded 1.8 GD,no publication year in the title,https://www.hipcomic.com/listing/avengers-1-1st-appearance-of-avengers-lee-kirby-cgc-graded-18-gd/17956339
hipcomic.csv,29,21509828,wsandefur,89.95,USD,Amazing Spider-Man #365 *KEY* 1st Appearance of Spider-Man 2099 - CGC 9.6,no publication year in the title,https://www.hipcomic.com/listing/amazing-spider-man-365-key-1st-appearance-of-spider-man-2099-cgc-96/21509828
hipcomic.csv,30,12651274,dtacollectibles,12000.00,USD,X-MEN #1 cgc 3.5-First issue-Marvel Key comic book 4216268001,no publication year in the title,https://www.hipcomic.com/listing/x-men-1-cgc-35-first-issue-marvel-key-comic-book-4216268001/12651274
hipcomic.csv,32,18281721,rdbeard,5045.00,USD,BATMAN #17 - CGC-7.5 - OW - Classic cover - Penguin - Golden Age,no publication year in the title,https://www.hipcomic.com/listing/batman-17-cgc-75-ow-classic-cover-penguin-golden-age/18281721
hipcomic.csv,36,20184920,comicage,3500.00,CAD,Incredible Hulk (1988) # 340 ( CGC 9.8 WP)  Signed Full Todd McFarlane • Wiacek,signed or conserved book without a stated label type,https://www.hipcomic.com/listing/incredible-hulk-1988-340-cgc-98-wp-signed-full-todd-mcfarlane-o-wiacek/20184920
