Type,SKU,Name,Published,Is featured?,Short description,Description,In stock?,Stock,Allow customer reviews?,Regular price,Categories,Tags,meta:_rcc_era,meta:_rcc_grader,meta:_rcc_grade,meta:_rcc_year,meta:_rcc_issue,meta:_rcc_key_issue,meta:_rcc_writer,meta:_rcc_artist
simple,AC-001-CGC-2-5,"Action Comics #1 (1938) CGC 2.5",1,1,"Golden Age key. DC Comics. CGC 2.5.","First appearance of Superman — the most valuable comic ever published. CGC 2.5 with honest wear and authentic Golden Age character.",1,1,1,1250000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, superman, first-appearance",Golden Age,CGC,2.5,1938,#1,"1st appearance of Superman",Jerry Siegel,Joe Shuster
simple,DC-027-CGC-4-0,"Detective Comics #27 (1939) CGC 4.0",1,1,"Golden Age key. DC Comics. CGC 4.0.","First appearance of Batman. One of the most coveted comics in the hobby. CGC 4.0 with strong colours and intact spine.",1,1,1,750000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, batman, first-appearance",Golden Age,CGC,4.0,1939,#27,"1st appearance of Batman",Bill Finger,Bob Kane
simple,MC-001-CGC-4-5,"Marvel Comics #1 (1939) CGC 4.5",1,1,"Golden Age key. Timely Comics. CGC 4.5.","First appearances of the Human Torch and Sub-Mariner. The book that launched the Marvel Universe. CGC 4.5 cream to off-white pages.",1,1,1,285000.00,"Comics > Golden Age","golden-age, cgc, key-issue, timely-comics, human-torch, sub-mariner",Golden Age,CGC,4.5,1939,#1,"1st app Human Torch & Sub-Mariner",Carl Burgos,Bill Everett
simple,SM-001-CGC-5-0,"Superman #1 (1939) CGC 5.0",1,1,"Golden Age key. DC Comics. CGC 5.0.","Solo Superman title debut with expanded origin. A cornerstone of any Golden Age collection. CGC 5.0 with bright, vibrant cover.",1,1,1,425000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, superman",Golden Age,CGC,5.0,1939,#1,"2nd app Superman / expanded origin",Jerry Siegel,Joe Shuster
simple,BM-001-CGC-4-0,"Batman #1 (1940) CGC 4.0",1,1,"Golden Age key. DC Comics. CGC 4.0.","First appearances of the Joker and Catwoman in one book. Among the most important Batman comics ever published. CGC 4.0 with nice gloss.",1,1,1,195000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, batman, joker, catwoman",Golden Age,CGC,4.0,1940,#1,"1st app Joker & Catwoman",Bill Finger,Bob Kane
simple,CA-001-CGC-4-5,"Captain America Comics #1 (1941) CGC 4.5",1,1,"Golden Age key. Timely Comics. CGC 4.5.","Iconic Hitler-punching cover. First appearance of Captain America and Bucky. CGC 4.5 off-white to white pages.",1,1,1,450000.00,"Comics > Golden Age","golden-age, cgc, key-issue, timely-comics, captain-america, bucky",Golden Age,CGC,4.5,1941,#1,"1st appearance of Captain America",Joe Simon,Jack Kirby
simple,AS-008-CGC-4-5,"All Star Comics #8 (1942) CGC 4.5",1,1,"Golden Age key. DC Comics. CGC 4.5.","First appearance of Wonder Woman — one of DC's greatest heroes. CGC 4.5 with vibrant colours and solid structure.",1,1,1,385000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, wonder-woman, first-appearance",Golden Age,CGC,4.5,1942,#8,"1st appearance of Wonder Woman",William Moulton Marston,H.G. Peter
simple,FC-001-CGC-6-0,"Flash Comics #1 (1940) CGC 6.0",1,1,"Golden Age key. DC Comics. CGC 6.0.","First appearances of Jay Garrick Flash and Hawkman. A landmark Golden Age book in excellent mid-grade condition.",1,1,1,225000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, flash, hawkman",Golden Age,CGC,6.0,1940,#1,"1st app Flash (Jay Garrick) & Hawkman",Gardner Fox,Harry Lampert
simple,WC-002-CGC-5-5,"Whiz Comics #2 (1940) CGC 5.5",1,1,"Golden Age key. Fawcett. CGC 5.5.","First appearance of Captain Marvel (Shazam!). True first issue despite the #2 numbering. CGC 5.5 with bright cover colours.",1,1,1,115000.00,"Comics > Golden Age","golden-age, cgc, key-issue, fawcett, shazam, captain-marvel",Golden Age,CGC,5.5,1940,#2,"1st appearance of Captain Marvel (Shazam)",Bill Parker,C.C. Beck
simple,GL-001-CGC-7-0,"Green Lantern #1 (1941) CGC 7.0",1,1,"Golden Age key. DC Comics. CGC 7.0.","First solo title for Alan Scott Green Lantern. A beautiful high-grade Golden Age copy with outstanding eye-appeal.",1,1,1,85000.00,"Comics > Golden Age","golden-age, cgc, key-issue, dc-comics, green-lantern",Golden Age,CGC,7.0,1941,#1,"1st solo Green Lantern title (Alan Scott)",Bill Finger,Martin Nodell
simple,SC-004-CGC-5-5,"Showcase #4 (1956) CGC 5.5",1,1,"Silver Age key. DC Comics. CGC 5.5.","First Silver Age Flash (Barry Allen) — the comic that launched the Silver Age of Comics. CGC 5.5 with strong colours.",1,1,1,175000.00,"Comics > Silver Age","silver-age, cgc, key-issue, dc-comics, flash, barry-allen, first-appearance",Silver Age,CGC,5.5,1956,#4,"1st Silver Age Flash (Barry Allen)",Robert Kanigher,Carmine Infantino
